nohaaa,2a5eraaan
:),I do tb3n
Hahahahahahahahaha,Enty mgnoonaa
Aywa ana 2olt bardo,Ahhahhaa dh selw lshelaaa
Hahahaaaa,Unbelievable
Ana adf3 f ay 7ga gher el refill,Da deall bena
I'd give everything to go with you guys kolena to chili's walahy,Hahahahahahahahahahahahaha
A7eeh tedfa3y Eh Ya hbla,M2drsh aksro
kefauaaa battery htkhkad,Nefsyyyyyy bgas
Shut up nermine salah america ghyrtk?,Ba2et madeya Awi
Nana etla3y ml gp,Sabet el a7sis el raheeba ely fe grp we rakzet fel battery
Nana,Dina ana shyfa en el 
Nfsy f dol,Hahahahaha
Ana Nefsy de Mori sushi,Awiiii wlahy ya ethoo
Men emta Ya donz,Ana kman
B2ett btnfkh mn nas ktir awi,El 5tuba ta3betek keda
Mb2ash 3ndy taha2an lel nas kda zy zman,Omal hat3meli Eh fe Katb el ketab
<image omitted>,<image omitted>
Dina,Ana batklm fe level Tany
Tetnefkhy Eh Ya Hala,Htla
Hahahahaghahahaaa,:)
Mat3melili allah yestorek,Ana kmaan
W ab3tlk dhl,Abooos eeedek
Dina mmkn,Ethar come
Esraa bitch,Esraa 7t3zmiby emta 3l sushi bgd
Thurs bokra?,La2 3mtn
Bs ay yom tany badr msh 7yb2a mwgod,Hadrr i promise
Lma nana tegy isa,Okk
Eh el fesa dah,Walahy law men 3'ery haygelko tasamum
Dina ayman,Wentu 3rfeny!
Ana 3omry ma albt 3ala 7aga as meshyet,:)
Samaa e5rasy!,Ana a3raf men Wila Ya mo2refa
Hahahahaa simoooo ana bhzaaar wlahy btb2a ahla surprise,Ana bs bsakhanhm 3liky
Ahhh ethar blash enty plz,Tyb
W7shtoony ya klabb,Wenty walahy awiiiiii
Lesaa kol da!!,Bezyada
Engzy b2a,Dina ayman
Bgad samaa plz come m3 ethar,Hwa da 3eed?
Ah,No a5rr few days in Ramadan isa
Tyb 7l7a2 a3ml fr7y b2a,Babe ana 3ndy gastritis 5l2a
Hahahahahahahahahahahaha,Bas keda
Kelma Kaman we hayb2a tasamum,So2al so2al
Ethar fi,Fi a
A sho3'l scary movie dh,Dina enzlelha bl m2laya
Hahahaa,Bas kda
Yalla ana hanam b2,Good night
M3ad noomy fat min sa3te,Sa3ten
Aywa b2a 7amada mstny 3la naaar,Wnty ya ethoo 7mada mstny wla msh mstny
Shklk enty el mstnya,Bl bra el foshya dih
Hahahhahaaaa aswrlko 7amada video,Hahahahaa
Ashan soot sh5eero gayb lliving,Ya khebetko
Dina enty hattsdmy b2ard lwak3,Ya lsho3'l ya lbaly balk
letnen 3andhom dont mix,Hahahahaa
La2aaaaaa,Watchhhh this
Katabt 7aga w msa7tha ashan samaa,<video omitted>
Hahahahahahahahaha,La2 Ya Dina Ya habibty e7na mn yum ma farashna el other room we kol wa7ed Fina mostakel be zatu
<image omitted>,I'm room alone Ya habibty!:D
Enty hatetsedmy gamed Awi,<audio omitted>
A7ihhhhh,Bs dy lklma
warinaaap,Barkooly ana ba2it fashionidta
Fashionista,Hia bttktp ezay
Hahhahaa,Lsoora msh btwsal
6ul 3pmrek Ya habyaty,Msh byb3t
:),:)
:),Lih bs kda
Antinal + flagyl 7alan,Ya habibtyyyy
Salmtak Ya siko,Don't worry isa hat3ady 3ala 5eer
salamtkkkk,hahhahaha
<image omitted>,<image omitted>
Baby,I have the same exact kimono
Dah men Zara,Eso mesh keda bsra7a
Shufili sho3'lana ma3aki Wenby,La msh zara
Dh spendy store,da awel kimoni nazl masr
netnyel ,wahshtiniii aktrrr
<image omitted>,<image omitted>
<image omitted>,<image omitted>
Mesh howa howa wala Eh,<image omitted>
Ana out on friday lel asf,Babaya gey men el safar bokraa
W yom gom3a lazem ab2a ma3ah,Aywaaa sa7
Konty bt2oly n abooki gai,Yeeeh
Hahahahhaha,Eda mesh hansafer
<Media omitted>,Ya banat
Ya modaresat ya 7elween,El banat ray7een el madrasa be bedal el ra2s??!!!
... we ... we sara we dodooo w samaa,El madrasa garalha ehhhhh
:),Dyyyyyyy 
:),Kman!! 
:),:)
:),:)
La2 mesh mazhoola wla 7aga,:)
7atzehel we 7atkhad leeh y3ni,Deeh el galaleeb el sy3ydy ely byetra2as beeha....wla homa bykhrogo keda fel se3eed?
Bera7a 3aleena ya monmon,:)
Tab eh ely meday2ek?,Ana 2a2ool badlet ra2es wla ma2olesh...eh ely yedaye2?
Dool met7azemeen we maskeen 3osyan beta3et ra2set el ta7teeb!!!,Homa ra2aso kman?
Yups ,Tayeb ya ... ... ezay mesh bedal ra2s?
:),Ana shoft el sowar
Texans,Turkey
Kolo labes lebs el balad ana ma3aky,Fekra 7elwa
Ma homa dool el kano bl 3posyan w bedal el ra2s,Ig or american students is the least of my concerns
We betkharag el students mn  gaw el madrasa we exam stress,:)
......ra2es wla mesh ra2es,:)
Ana btkalem 3al ourfit,Ana m3aky ya ... enaha fekra 7elwa
Wel maghood wade7,Bas el outfit is inappropriate
:),:)
<Media omitted>,:)
3rfa ya ...,Law kanet el 7afla deh fe ka3a barra
Kan ok...laken gowa el school,:)
:),... .... matkhawefneesh mnk
...,Om el fekra 7elwa
Erta7to?,Lakem dah mesh lebs madrasa
"Wna shelt kelma we7sha betet7at abl ""om""",Helwa keda?
Wasalt?,:)
3omraha??!! Malek mota2akeda awy keda?,Dah mnzar bas 
:),:)
:),:)
Howa fee ehhh,Fi ra2s w mas7'ara 
:),Fein el kaass ya ...
:),Wl sogaara
Ana a2dar el ra2s awyyy,:)
LOL,Meeen dareb bersham ba2a
Ana mish fahma,:)
Tab tesba7o 3ala kheeer,:)
:),:)
...aa,:)
Alla allaaa allaaa,El 7gat dy mkntsu bt7sl w2na m3ako leh?
Knto btmskona bs lw lbseen 7aga m7zma shwyaaaaa wkona bntrw2 fy el staff room,Dh ad2na kan 7yb2a 3aly awy awyyyyyyyy
:),Hahaaaa
Tyb ana n7z2 dlw2ty agy 3ady?!!!,Ana btbaaas 7adrtk 3adyyy
:),Hhaaaaaa
Dy 72e2a,Ana kda dlw2ty
Wgra bnty wraya kman,Bs atbaas brdkk 3ady
:),Hahaaaa
Kan lazm trabeny a7sn shwya,:)
Hwa feeh eih,Leh sara albt gamed kda
Ana da5alt a2ra l2eat monmon da5la shemal shwaya w sara da5la shemal kter,:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
thursday night eh al klam,leh kda bas
msh nzla,<image omitted>
Shakli home,Weekend ba2a w kdaa
leh ??,ksala w7sh 2w3a man al ksaaal
aywaa ba2a sahloo,leh bas kda
Msh 3rfa mksla,La malish mazag walahi
W mzla bkra w ba3do,F 3ayza arya7
lessa b5ila wala 2t3'yarty,booo2 akid
3mla eh ??,3ayash al 7mdll
gaya this weekend wala la/,la2*
isa twsli bil slama,5liblak 3ala nafsak ba2a
w 2ana kman eh,??
dnt wrry 3omr al sha2y ba2y,isa
laa eghyrt,kowyssa wenta
hamdl,ess
isaaa,haderrr
wenta kaman,tc
fnaaak ???,dah tbi3y 2ana 2li 2s2al
3mla eh ???,3ayash al 7mdll
mafish mah kol mara b2ol 3ayash ,la2 rbna m3aky
:),leh kda bas
ya rab y5las 3ala 5iiir isa,btslam 3liki 
nth 23ad,Ana kont lsa ha2olak kda 
Eh msh fahma,El7l tmam enta eh ela5bar
Malak ?,Ana youm el7ad 3andy 3 exams
Thursday night eh bas ,We 3ndy emt7an bokra mazkrtsh 
Msh adra 5alas bgd ,Elterm da lazm y5las 
Ya rab,Eh a5bar elkoli
A,Bt3ml eh
And zen what,Wez we bat 
sahlooo yabaaa,tab kwayas
sho3'l 7lw,hahahaga
isa ytba3,bas forma 3mla sho3'l
al moham burn fates,al 7war msh fil 2kl bas
mw3dna 21/6,mafish ta2gil
la2 dah kan deal bt3na,mafish hroob
malish fih,3'ltatt al shtar bih 1000
mt3mlish kda 2ana 2lby msh byst7mal ,la2 bardo
<image omitted>,<image omitted>
<image omitted>,<image omitted>
Tool el yom a3da fel ma7al b3mel hagat,Yarab yetba3 bs
Msh 7asa eny ba5es ,Mana msh fadya
B3d exams ,5alih b3d ramdan tab
Ana nasyaaah,Mana kont nasya ramadan
Ya omdaa,Hahahaa
thurday night wala eh,al nka2 l allh
Ah ray7a 3aza,W n3ma bllah
Dh zara ?,Yup
Bkam ?,Men abl el gawaz aslan
350 bas fel sale,Ana gaybah 220
Hahahahahahahahaha,Hahhahaaa
:),Ashan howa men bnt btgeeb 7agat msh zara w kda
Hahahahahahahahaha,Tel3et bet3'yar el ticket Ya hbla!:D
Spendy store 3l instagram,La2 msh bticket asln
Ana fakrah mtfasal,Hahhahahaaaa
Hwa enta nesetny?,Amour awiii 
Waheshteniiii ya eidooo,Bi3melo fik eh?
La ana neseit el donia,<image omitted>
Tab3an tool 3omry,Wenty Kaman walahy
<video omitted>,Da karim 
Alllllah,Hahahahah sara atlmy 
Hahahahhaah,Tell shahista mabriok
Eh ehhhhhhhh ??? ,2arooo fat7aaa
Bkra inshalah aklmha hya w mostafa,W e3mlo 7edabko isa en l outing k keber bta3 l 5etoba 29-5 isa
27san al nhrda al 7mdll ??,Yes elhamdolelah
Wntaa eh a5brk,al 7mdll
Ray7 nady ??,msh ry7a
Msh adraa sa23anaa,w eh a klam
Nothing  a3da bal3ab candy crush,dih l3baaa ...........
Badaya3 wa2t hahahah,3amalt eh f natiga bt3tak ??
kan carlos bas 2ana w 99998888 2olna mince burger then teatri ,2li 7y2oloko
bas msh 3aref 2al wala lessa,Hahahahhahaha
7ttla3 bokra isa,La ana msh 3rfa bsra7a ana makan m hat2oulo harouh 
hahahaha,<image omitted>
3ib wallahi,mafish so2al kda 
:),lessa
El sa3a kam,4
Mzakerr,design mafihadh mozkra
Tab bra7aa,howa 2ana 3mlt 7aga
25ty bracelet ??,Lsa bokraa
3mlt eh,2daat
"msh kfaya t7wir 3ala
nafsak",Ah walahy
Ahh kont h2olak ,:)
Bgd ,msh 3gbaki wala eh
La 3agbany,:)
w al klam 3ala eh,Hwa mince wla teatro wla el 2
2,dah 2kl w tany ll mzag ba2a
Aiwa ba2a,23da 7lwa w shisha al 7lwa
Nefsy ashrab shisha,msh 7rmnko man 7aga 2ho 
Hahahaha,ngrab w maloo 
yomna 7tmwtna,Hahahaha la msh ba7eb asln
Msh ba7eb shakl el banat bl shisha,omal leh tgrbiha
wala sgara yallahwy ,Hahahaha 
msh 7tfhmii bardo,fih mska ll sgara msh tb3ya w tri2at do5an w howa tla3 yallahwyyyyyy
mah 3lina,Hahahahaha
:),bzabt kda 
sagayer m3 perfume 7lw by3mlo cocktail fazee3,hahahahaha
classic bokra wala eh,lebs 
Hahahaha ah ,million wala euphoria
Euphoria,<image omitted>
E7na aho hahahaha,bzabt
kolo gay isa ,Hahahaha 
Wa5ed balak men el jacket el geld,M3 el perfume brdo by3ml shoghl
doool mawgdin,nlbas jacket bokra wala tz3li nfsak 
Hahahaha,Gaya a7a2a2 a7lami
la2 d5la supermarket,Hahahahahahha
Ahln btwket cairo,Hla bsh 
Sal5eeer,Azik
El7mdulillah,Azik anta
3amla eh now :),Zy ma ana bs mstbrda 
:( m3lsh,Shlty sortk leh ya koba
Eidoo,Eidoo
Sabah el kheer,Enta raih taban enhrda
Eid milad sahbetak ,Enta leh kont betshtaghal metakhr keda embareh?!
Eido ,Nty mesh Hateegy ?
Ahahahhaha bezabt keda,Ahahahaha
Ana fey attameya batmaran and when I come back I'll call u,Okay
Enta metbahdel,?
Taib kwaiss,Fok shwaia 
La la ana el7 el7,5aragt a5eeran
Enty ya bent ya gihan,Enty ya bent gihan *
Haaha,Wade7 enak btnadenee
BelzAbt keda,Fank ya welia
Sar7a f el malakot,Tb f eh a5rtha
Boos enta tkteb 3laia w nhrab ,HahgahahHa
A7aaa ana mowaf2 fash55,Hahhahahhahah
Eih btataklmo fi eih :D,Malko :D !
Gawaz eih,Gawaz isa
Hahahhaha,Etl3ya mnha bs ya nour 3alashan tekml
Htkml ya amar la tqlaq,Merci ya amar
Karim,?
Btktb ??,Baktb eh
L papers,Lsa sahyyyy
W 5afet ??,W kalt l 18 beda bto3ak ?
Msh 3arf 5ayf ashrb maya al2y btny lsa wg3any ,Hahahahahhah
Lsaaa ,Tab ma ta5od dawa yaba
Ih dh,5at wlahy 
Noo esmha 5adt,Not 5at
:),eh 25bar
Tamam wntaa,lessa sa7t
sa7y,Hashtemak 
leh bas kda ,Lsa sa7i ena sa7ya men 7 : 30
3ady ya bbe 3ady,lazim nas ys7o bdry wala nas mat25ar 
Hahahhahahaha asdak el 3abid ely zayii yes7o badri,la2 lazim yb2a fih balance nas ts7a bdry w nas mat25ir 
low kolo s7a bdry kda kolo 7yzha2 badry ,Hahahhahahahahha
La sa7 ,Btfkar brdo 
shofty 2zay,Masm3sh sotak 
2zay,bas 2raty klami 
Hahhahahahaha bared ,:)
Hahahha la habibi ya omda ,5lsty sho3'l wala eh
4:30,27na n5liha 3:00 
Hahahahhahaha tekeyet abouya aslha ,hahahahaha
3andy fkra 2dmiii al s3at kolaha 2li fil mktab w s3tak w s3at al mobile w 2mshy ,2olilo al sa3a 4:30 
Hahahhahahaha w malo,fdal 52 min
aywaa ba2a,Ento feen
Ehna 3and 3and rostry,3and mince
wslto l eh ??,Ana khalas f 3emarat
wslty ??,eh balloons dih kolaha
Dh kn. 3id milad sara ,<image omitted>
3mla eh ?,kowysssa wenta
3ayah al 7mdll,wslty bat wala lessa ftri2 wala msh gaya alex al 2sbo3 dah
mastere,ahoo
ana sy2a bs mahdsh yaaarf khales,5liblak 3ala nfsak
hader,w rkzy w sibi al mobile
hader,w lama twsli bil slama isa
hader,lama twsli isa ntklam
okauu,kda kda 2ana bashar
rkzy yala,momkan ykon klmy gamad bas 2ana shyfo kda sa7 bdal mat3mal m3aki bih wshan odamak 2d7ak w bta3 w man wraki mdaya2 w 2ana msh kda fih 2ana sybak lama t3ozi ttklmy 7tl2ini sm3ik 3ltoool
3amlt eh ?,2daaat al 7mdll
Emta 3andak tany,10/1
Ma3ya y3ni,isaa
:),:)
:),b3tha bil 3'lat
Heya eh di,mah 3lina
w 2nty eh al 25bar,Ah gbt 18 fel accounting
Men 20,d7i7aaa
Da msh 7kiky,Bt3ml eh
bnam 3ala nafsy 3shan mksal 2nam,Tb mat2om tnam 
Leh bt3zb nfsak y3ni,3ndk kolya bokra
mafish kolia fil finals,-.-
lessa msh moktn3a bih kda,Yb5tak
Eshm3na ana,Ha7kd 3alek
al nas m2maaat,:o
:),Eh elrad da :o
Bokra 3andy men 8 le 5,:o
rbna m3aky,Sankyou 
Btbhrny 7a2i2y,wlc
Msh 3rfa a2olk eh,Eh da -.-
sorty dih ha ha ha ha ha ha,Howa Enta 3rft menen
3iiib al so2al dah bardo ,La bgd walahi :o
akid 25at balii ya3ny,<image omitted>
<image omitted>,Aywa bas Ana 3amla crop
dih 27la bih ktiir,Msh bayen elfo2 
w 2ana 2hbal w msh 7a5od bali kda ,2ana dr bardo
mah 2nty lessa mt3rfnish,brkaz kwayas al 7mdll
7lwa awee di,:o
Bas Howa Msh 3shan mat5odsh balak,Ana kont 3ayza maya bas
la2 bzwlak 3ady ,mobile 3mal m3aky eh
7lw awe Wel camera 7lwa gdan,tab kwayas 
Allah ybrek fik :D,Hat3ml eh enhrda
teatro bayan,isa
Isa,& u
Opera,Ma3a malak
Hahah ,rw2an ba2a w kda
Hahahah ah,Isa :D
Bt3ml eh,nth
shwaya kda w 72om 2ghaz,B3ml sha3fy
Sha3ry*,:)
La2a ,Ba3mlo Bas
hahaha,??
mince burger msh 7lw,yank's corner 27la mnoo bih ktiir
Bgd Enta garabt?,Ah fi nadla bt7sal 
hahaha,Bt3ml eh
lessa rga3 bat,msh tlba 2shar al nhrda 
Msh m3na,2olt 2rwa7 bdry 3ady mara 
Fi Omar khairat 16 we 17 we 18,w 19 kman
w tickets nzla 12 ,Tb elsa3a kam ba2a :p
msh lazim 23raf al sa3a kam,lama 2gib ticket al 2wal 
Aywa Ana asdi elticket nazla elsa3a kam ,Elsa3a 10
Badeef ma3looma ,Hatro7 ?
howa al mafrood raya7 bas msh 3aref,bas al mafrood ya3ny
Eh ya 3am,eh ya boss
Nzleen emta wla fakasto,nzal 2ho 
Hahahaha mashy yla,nzlto ??
Hma fe sporting,Ana lsa 3shn orayb meny
Ento eh,fil shatby
fnak,Seka 5ara bs 5las d5la share3 fo2ad
Ento a3adto wla,la2
Omal eh,eh al klam
Ana fl beet men 9:40,mah 3aref
b2olak 3mtan,Hahaha eshta kan yom 7lw
Ento eh rawa7to wla htse3o lsa,ro7na carlos
bas 2ana lessa mshy  marwan w mohamed hnak,Msheet leh
s23a w fakas msh 7n2ol 7aga,24 hour fih wsh ba3d 
Hahahaha sa7,3aiza anzl tany ana dlwa2ty
mshm3na,3ady zaha2
3aiza a3od 3al ba7r lwa7dy,leh lw7dak
Kda a7la,la2 2fham
3ady lwa7dy a3od m3 nafsy kda,Afakr
tawdii7 2ktar,Eh yabny a3od afakar m3 nafsy eh el moshkla
mshy,23ody 
7ader ry7a aho,slmili 3ala ba7r
Men 3enaya,ba7r 7lw
Gdaaaan,slmtili 3lih
Ahh byslm 3alik hwa kaman ,:)
nnzl bas yank's corner,Eshtaa wlaahy
ay 7ta msh 7war,Ah bs nnzl
W ba3den,yomna nmat wala eh
Shaklaha kda,wslt bil slama ya3ny al 7mdll
:),:)
7fla 5lsat,Aywa Ana kont fel bet 10 we nos
knat 7lea,7lwa
Ah kanet 7lwa,Bas elby3'ny kanet ray7a meno 5ales 
2zay ya3ni ,Y3ni kan by3eesh eldor bzyada 
Kan bynsgem kda,Be tary2a fake awe 
Da7kny awe aslun walahi ,Bt3ml eh
73mal eh !!,Bas bos a5er 7aga 3amloha 3gbtny awe
<video omitted>,<video omitted>
7lwa sa7 :D,Walahi kan lazem aswrlak el singar
leh ya3ny 73mal bih eh,3ayza awrik kan by3ml eh 
Hat3ml 7aga Bokra Wala lsa Msh 3aref?,bayan raya7 chili's
Msh ba2olk fi nadla :p ,al mfrood raya7 cycling al sob7 bas m3tksh 7s7aa
ma3a btoo3 al r7la,:o eh da Ana nfsi bgd 
Malak law mar7tsh elsa7el 3auza tro7 mince,msh waaaaaw y3ny
dah ra2yyy,Nro7 3shan terta7 
Enta garabt Dixon's ?,dah eh ??
Da burger bardo,Fat7 3and the hit
Fe nafs el mabna da,la2
Eh ya babee,eh ya boss
3amel ehh,kwayas al 7mdll & u
Folll el7mll,Fenak
Eidoo,Mayala nenzel enhrda
Ana babaya warah hagat fa agy ashoufek... Bas its fine we can make it anytime later inshallah,Naharda ana out 5alesss
:s,<audio omitted>
Hahahahahahahahaha,Karim ahmed ahoo
<image omitted>,Hahahhahahhahahahah
Kikooo,Enta wahshteniii awiii bgdd
Hahahahahhahahahahahahahahahhahaha ,Sosoooooo 
Miss you sosoo ,Wnty wlahy sisoooo
Msh htnzly m3ana mara kda tyb ,7ad shaf brnamg shaher e baher
Yaret nas ta3rf ramadan gai ,Ybna Sara awel asbo3 di  ma3rofaa
:),:)
:),:)
:),Very disappointing besRa7a
:),:)
:),:)
:),:)
:),:)
wslty ?,7mdla 3ala slama
allah yslmk,ana assfa bgd eni mz3lk keda
al moham 2nty kwysa,eshta hamdl
aywan,How do you do
:),gr8 al 7mdll & u
El7ln,3mlt eh enhrda
teatro,Trianon
sahlo yaba,Hahahhh 
7lw awe,tab kwayas
7awel,Hal tsm3ony bwdoo7
aywan,5alast emt7nat wala lsa
fdli mashro3 al 2rba3 isa,7slmo
Isa,Hatgy ba2a sa7
Olll ahhh,isa bas fushi mstnih y2kid 3lia
:),klmny al sob7 2li 7shof w yrod 3lia blall
fih mstnih yklmni,Hmm
Msh m3brniii khales,wallahi mashrooo3 w zft
boss fino,La2 kayzer
E2ta3 m3aya 7alan msh halomak,Hahahaha
Ezayaak ya babe,lessa m5laas crossfit 
Aiwa ba2a formaaa,3yzin nzboot 3ala summer ba2a kfya ksal
Wna isa ray7a gym men wednesday,7tfg2ina wala boo2 zay kol mara
:),wala 7tt2loo
7tt2lii*,Hahaha la2a 
7nshoof,Hatshof
deal,:)
eh ya bbe,3ayash al 7mdll & u
la2 wallahi,mafish 7aga
sba2a moham al 5amis isa,plus kda kda 2ana lessa 7btdy tamrin ya3ni
isa isa 7ntzam w nrga3 al 2mgaad kfaya fshal,wala eh
hahaha,w isa rbna y2darni isa
ya raaaab,isa
<image omitted>,Hahahahha
<image omitted>,Alahomaa shakrna zamala 
Hahahahahaha ,Karim
Enta ayez tegib sohabak? ,Nefsak teb2a el amin
Ghairan ana 3arfaa,Tediii meen 3ala weshaha ya pops entaa
Kikooo,Enta kman wahshteniii awiii
Mashy hagy bokra inshallah,Guys ana bfkr a3ml group tany w nms7 da
Leeh,La2a ana baheb dh
W mash 3aiza neshelo,La2a plzzzz
Neveen btz3l,5aleeeh
En ehna bntf2 w msh bn2ooll,F ne3ml wahd akbr
Hya m2ltl2esh bs ana areet el comment bt3ha s3bt 3lya ,La ya karim
L akbar dh hyb2a zahna awee,Zahna 
W mahdhsh hyfhamhaga,W hyb2a sa5eef
La fakes plzzz,Wna bahebo
W mahdsh hyfham 7aga,Tyb ok el anty 3ayzah
La2a 5aloh,:)
Hahahaha wlahy abdn deh s3bt 3lya olt tb mn3ml wahd akbr ,Sara anty asln hdrbk 3la weshk ama ashofk
Hahahahahahaha ya mot5lfa,Ana 3ayz ashofk wlahy mtb2esh 5araaa
W tetnyly ashofk bkra,T3aly slamy w 3'ory
Slmy*,Aywaaa sosooooo bs msh h3rf aklmk msh bklm 3'er vodafone
Hahahhahahaha,Dh kadab ya dara
Sara *,Bykalm kol l shabkat
Hahahahaha,Agahgahahqhw
Di de7ka wala btetqara3y?,"Tyb ma tgeb neven fe group
Dah "
Fathy hahahahahhaa,Hahahahhawhw
Enty kda bda2ty thawhawy,Ana shayef neroo7 l dr bokra
Momken ba3d kda te3mely 7agat tanya msh han3raf nesaytar 3aleeha,Ahahahahahaha
Matakleesh samak wala beed l modet esboo3,Karim ya hywan
Kefaya dehk 3alia,Wenta ya fathii
Ana hawreek,Laaa2 darb laaa2 
Meen hay3mel eh enhrda!?,Ana fel shoughl w khalast
Hatrouho el tagmou3 now?,Taib ana harouh henak now
Arouh cfc?,Ay hagaa
Kararo w ouloli,Karim hygeeb blazer men cfc fa hn3od fel tagmo3
Enty fein,I miss u aweee
Yalaaaa tajmo3,Ana fe betty w balbes aho
Okie okie,Noo nero7 concord plaza
Wala 3aizen no3od men cfc ?,La wenby olele
Fi makan fatah fel maadi helw awiii,Lazem nrouho bardo
Esmo la paire,3aizen neroh breakout
L 5ames aw l gom3a l gayen,NehgaZ
Nehgz,Breakout dh mash cafe
Dii le3ba,Helwaaaawee
Ezay masm3tesh 3andha,Ahh toyeb
Guyz 3ayzeeen no5rg kolna ,Aywaa yareet neroh nel3ab fe breakout dii kolena walahe
Htb2- 7elwa awee,Asln sellawy enta wa7shny gedan
Ana mash fahma enta fein,Ah wlahy wna
Selawy by3ml formt el sahel w mnfdlna,Ah bayeno kedh
Selawy 3ayza t2bleh rohy ay event,Gary
Asln sellawy by3ml l forma w ab3den mysafrsh l sahel,Hahaa
Tb who's in today ?,Aw bkra ?
Alllah bokra,:)
<image omitted>,Hahahahahahahahahaha take care ya ttitiiii
Haha kiko possy walahi wa7shnii kolkoo ana bas mas7ol fe sho3'l. ,Yaret nnzal 
Mmkn nro7 gym kolna sawa,Tb hatly invitation w agy m3qk nhrda
Wla htroh maadi club,Lala ana fe gym mmkn bele maadi garia 5afifa keda
<image omitted>,Bokra?
Hahahahhahahahhaha,Hahahahahaha
Malo bokra ?,Ag
Ah,Sunday
Awel yom fel week,Bye
Bkra el had,Joeyyyyy
Bkra 7 mince ely fzamalek,Zamalek a ya liko
Mince mast l gedida,Mercii le hosn ta3awon poukii
Ahh bezabt,Mince zamalk mesh haykafina
3shan lala gamb sho3'lha,Wasln mince mast l gedida akbar bkter awe awe
Eh da!,Salamtakkk
Home soosoo,Ta3ban
Mafeesh kont medarwa5 7abetein,Eidooo
Yala mince enhrda,Kolena hanroug
Hanrouh*,Fe masr el gedidaa
Ana w karim w passant w fathi w shalaby w iten,Are you in?
La2 ana ayzak tigy !,Eid ba2ali ketir mashouftaksh
Koloko meen ?,We Mince Elly Fein
La ana fakess ana mel 5orooga deeh,Nty keda mesh 3ayzany a3ady 3aleiky Wala a ?
Aw laraa,Balsh guys di
Lolo fadi nafsak yom elgom3a,Hatnzli m3ana
:D,Bazbat kda
Shtara enti olti kda abl kda o faksti,Fa malnash d3waa
Hanro7 elsa3a 5 kazozaa o b3din  hanro7 n3od fi tutti matti,Kol dol fl m3adii
Hategy 3'azb 3ank,Rody a7slk
Hahahhah,Dana el guys kolhom
Afadiii ,Shatora
Enty b2etee rwshaa awee,Etklmy m3aha kywais
Etklmo ento el 2 kwis,W elaa h3'nelkooo
Wento 7oreen b2aaa,Kona etfa2na hantgawez emta !!
Ay w2t ya bbee,Momkn Friday abl mannzl aw b3d
Ana peace,Wnaa msh wrayaa 7agaa
7lw elkalam da,Hahahhahaha
Bgad !,Tab 3ala barakat elllah
Hahahahhahhaha,Ana shayef keda
Wanaa kaman shyfaa kda ,Enty elshahda elea7eda 3ala elmoseba de
Wa7eda*,Mabroook y nouryyy
Fil a5er abhy wahd ?,Masr l gedida isa
Karim sa7yy badre,Dh ehh dahhh
Aslm a5r haga fil gm3a ,Goooooood luck ya bassem
Hahahahahahhahah merci ,<image omitted>
La2 ana bakhalsss 6,Matetakhroush
!!,Ay 6:30
Bas i dont have a car,Please had ye3adi 3alia fel shoughl
Momken?,Ay had
Bas matensounish,Guys
Net2bak emta w feeen,Ana ha5ls sho8l 3la 7.30 8:00
9 w nos,Yb2a tego 3la hnak
Masr gdeda,?
Nozha,Lala ma3rfsh tari2 
Neb2a n3mlk share location ya sella,L yaree2 sahl aweawee
Awee,Ahbal ya3ny
Net 3andi baiz,Fathii 3aref ltaree2 kowais
Ha5aleh yeshr7lk,3adi 3alyia ya Selawy fe 263
Ana haro7 3ala 9,Eshta ht5las sho3'l emta
9 a ya sellawy mategy badre shewiten,Ana ha5las w aklmak
3ayzana nb2a hnak kam,Possie w fathy awl atnen hywslo
Msh fakrak yaah,Ya lala mafish 7ad ye2dar yensaky! Enty 7ala ya mama!! 
HAHAHAHAHA,Hahahahahhahahahaha
Fathii mawteny,Hahahahahahahaahahaha
cairo kman sahlo yaba ,Hahhahaha mshh haselooo khales
leh kda bas,w ng7ty
??,:)
Knt ray7a emt7an,Lsa next month inshaallah ha3rf
3amla eh,kowyssa wenta
kwayas al 7mdll,sho3'l 3mal m3aky eh ??
tab al 7mdll isa dyman,ur mum & grand ma
?? 3mlin eh,tab al 7mdll isa dyman
gaya weekend ?? wala cairo,twsli bil slama
latiff walahi,lotaf brdo walahi hamdl
yes yes isa,isa
msh basmak al mobile 5las dah 2wlan plus tool al youm bara al baaaat,kolia swimming crossfit w lessa da5al al baat
eh al 25bar ??,Leh msh bts2al
???,3ayash al 7mdll
thursday night eh al klam,El7l tmam enta 3amel eg
Eh*,La2 lsa msh 3rfa
boss fanii,fnooo*
bgd ,tab al 7md
Fl donia,Hahahaha tal3 boozi
dah man eh ???,msa 3liki
wala 23raf bayan 2hwa,nsiry 7zaker
msiry*,Coursat
Ht3ml eh 2day,Yabny zaker yabny
:),:)
:),Dr.siham.vcf (file attached)
:),:)
:),:)
<Media omitted>,:)
:),:)
ahh ana lesa 3awza a2gro aw abe3o,ana fe alex ya mona
I know I called you yesterday,ambare7 m3rftsh arod 3leky kont 3and mamet a7med w mkansh m3aya credit
:),Me too
:),momken twreha al swer elly 3ala fb mo2ktan l3'yet mrawa7 aswrholek sora 7elwa
:),:)
y5leky lya,:)
:),y2ma 7mshy bokra w agy al sabt tani
